,price,location,total_sqft,bhk,bath
0,4200000.0,"Ace Platinum, Zeta I, Greater Noida, Uttar Pradesh 201306, Zeta 1, Greater Noida, Delhi NCR",1150.0,2.0,2.0
1,5400000.0,"Ace Platinum, Zeta I, Greater Noida, Uttar Pradesh 201306, Zeta 1, Greater Noida, Delhi NCR",1450.0,3.0,2.0
2,5000000.0,"Ace Platinum, Zeta I, Greater Noida, Uttar Pradesh 201306, Zeta 1, Greater Noida, Delhi NCR",1450.0,3.0,2.0
3,5500000.0,"Ace Platinum, Zeta I, Greater Noida, Uttar Pradesh 201306, Zeta 1, Greater Noida, Delhi NCR",1450.0,3.0,2.0
4,7000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1595.0,3.0,2.0
5,8000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1550.0,3.0,2.0
6,4700000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1073.0,2.0,2.0
7,7000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1550.0,3.0,2.0
8,6000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1300.0,2.0,2.0
9,7200000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1635.0,3.0,2.0
10,8500000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1897.0,3.0,3.0
11,7000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1485.0,3.0,2.0
12,5100000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1080.0,2.0,2.0
13,11200000.000000002,"Ardee City, Gurgaon, Delhi NCR",1600.0,3.0,4.0
14,13000000.0,"Ardee City, Gurgaon, Delhi NCR",1575.0,4.0,3.0
15,11000000.0,"Ardee City, Gurgaon, Delhi NCR",1400.0,3.0,3.0
16,7500000.0,"Ardee City, Gurgaon, Delhi NCR",1040.0,2.0,2.0
17,11100000.000000002,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100.0,4.0,3.0
18,11000000.0,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100.0,4.0,3.0
19,6700000.0,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",1300.0,3.0,2.0
20,3150000.0,"Bhopura, Ghaziabad, Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
21,5000000.0,"Bhopura, Ghaziabad, Bhopura, Ghaziabad, Delhi NCR",1550.0,3.0,3.0
22,3450000.0,"Bhopura, Ghaziabad, Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
23,3400000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
24,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
25,5600000.0,"Bhopura, Ghaziabad, Delhi NCR",1655.0,3.0,3.0
26,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
27,4000000.0,"Bhopura, Ghaziabad, Delhi NCR",1275.0,3.0,2.0
29,3600000.0,"Bhopura, Ghaziabad, Delhi NCR",1072.0,2.0,2.0
31,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",1040.0,2.0,2.0
32,2890000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
33,3100000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
34,3040000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
35,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",950.0,2.0,2.0
